date,close
2001-05-07,173.75880432128906
2001-05-08,165.99954223632812
2001-05-09,168.58595275878906
2001-05-10,168.58595275878906
2001-05-11,171.17234802246094
2001-05-14,169.76156616210938
2001-05-15,170.93724060058594
2001-05-16,172.5831298828125
2001-05-17,172.11279296875
2001-05-18,175.63978576660156
2001-05-21,175.87486267089844
2001-05-22,184.3394317626953
2001-05-23,182.92872619628906
2001-05-24,183.6341094970703
2001-05-25,185.0448760986328
2001-05-28,186.45562744140625
2001-05-29,185.27999877929688
2001-05-30,181.75308227539062
2001-05-31,184.3394317626953
2001-06-01,182.92872619628906
2001-06-04,188.10159301757812
2001-06-05,191.15814208984375
2001-06-06,194.92013549804688
2001-06-07,192.09873962402344
2001-06-08,188.57174682617188
2001-06-11,197.74166870117188
2001-06-12,198.9173583984375
2001-06-13,196.56614685058594
2001-06-14,198.4470977783203
2001-06-15,192.33383178710938
2001-06-18,189.277099609375
2001-06-19,189.04200744628906
2001-06-20,188.57174682617188
2001-06-21,191.62840270996094
2001-06-22,195.6255645751953
2001-06-25,198.4470977783203
2001-06-26,196.33096313476562
2001-06-27,194.21481323242188
2001-06-28,196.56614685058594
2001-06-29,197.27146911621094
2001-07-02,195.15538024902344
2001-07-03,195.15538024902344
2001-07-04,194.92013549804688
2001-07-05,196.0957794189453
2001-07-06,190.21763610839844
2001-07-09,191.15814208984375
2001-07-10,197.50653076171875
2001-07-11,195.15538024902344
2001-07-12,196.8011932373047
2001-07-13,198.9173583984375
2001-07-16,196.33096313476562
2001-07-17,194.4498748779297
2001-07-18,192.33383178710938
2001-07-19,188.10159301757812
2001-07-20,188.10159301757812
2001-07-23,185.51512145996094
2001-07-24,184.80975341796875
2001-07-25,188.33660888671875
2001-07-26,192.56890869140625
2001-07-27,189.98252868652344
2001-07-30,188.10159301757812
2001-07-31,195.15538024902344
2001-08-01,194.68507385253906
2001-08-02,197.27146911621094
2001-08-03,196.56614685058594
2001-08-06,196.33096313476562
2001-08-07,201.50372314453125
2001-08-08,200.32806396484375
2001-08-09,197.50653076171875
2001-08-10,197.50653076171875
2001-08-13,198.2119903564453
2001-08-14,204.56039428710938
2001-08-15,206.676513671875
2001-08-16,213.02499389648438
2001-08-17,217.7274932861328
2001-08-20,214.20059204101562
2001-08-21,212.08447265625
2001-08-22,216.31678771972656
2001-08-23,213.9654998779297
2001-08-24,205.7360382080078
2001-08-27,207.1468048095703
2001-08-28,207.38192749023438
2001-08-29,200.79833984375
2001-08-30,196.0957794189453
2001-08-31,192.56890869140625
2001-09-03,181.98814392089844
2001-09-04,171.17234802246094
2001-09-05,177.9910888671875
2001-09-06,175.1696014404297
2001-09-07,179.40184020996094
2001-09-10,174.69924926757812
2001-09-11,171.17234802246094
2001-09-12,159.41603088378906
2001-09-13,162.70782470703125
2001-09-14,170.70213317871094
2001-09-17,162.70782470703125
2001-09-18,162.237548828125
2001-09-19,160.5916748046875
2001-09-20,154.00807189941406
2001-09-21,147.6597137451172
2001-09-24,147.6597137451172
2001-09-25,153.5755157470703
2001-09-26,149.3160858154297
2001-09-27,150.02601623535156
2001-09-28,150.02601623535156
2001-10-01,167.30030822753906
2001-10-02,171.55972290039062
2001-10-03,168.4835662841797
2001-10-04,176.05575561523438
2001-10-05,180.315185546875
2001-10-08,180.315185546875
2001-10-09,168.01019287109375
2001-10-10,163.7507781982422
2001-10-11,171.3231201171875
2001-10-12,177.00233459472656
2001-10-15,175.3459014892578
2001-10-16,171.79637145996094
2001-10-17,171.08644104003906
2001-10-18,170.3765411376953
2001-10-19,172.26968383789062
2001-10-22,175.3459014892578
2001-10-23,178.18551635742188
2001-10-24,177.2389678955078
2001-10-25,179.60531616210938
2001-10-26,174.87265014648438
2001-10-29,173.68943786621094
2001-10-30,172.0330047607422
2001-10-31,170.84979248046875
2001-11-01,169.66659545898438
2001-11-02,165.64382934570312
2001-11-05,166.59036254882812
2001-11-06,165.88052368164062
2001-11-07,158.30821228027344
2001-11-08,163.27748107910156
2001-11-09,163.27748107910156
2001-11-12,158.5448760986328
2001-11-13,155.70518493652344
2001-11-14,152.39239501953125
2001-11-15,150.02601623535156
2001-11-16,166.59036254882812
2001-11-19,164.93399047851562
2001-11-20,164.4607391357422
2001-11-21,165.88052368164062
2001-11-22,166.59036254882812
2001-11-23,166.59036254882812
2001-11-26,167.5369415283203
2001-11-27,163.98739624023438
2001-11-28,162.5675811767578
2001-11-29,162.09434509277344
2001-11-30,164.4607391357422
2001-12-03,159.72801208496094
2001-12-04,159.25474548339844
2001-12-05,158.07162475585938
2001-12-06,158.30821228027344
2001-12-07,155.46861267089844
2001-12-10,150.26260375976562
2001-12-11,146.71316528320312
2001-12-12,150.97254943847656
2001-12-13,146.47650146484375
2001-12-14,143.16366577148438
2001-12-17,138.4309539794922
2001-12-18,137.247802734375
2001-12-19,136.06463623046875
2001-12-20,138.66758728027344
2001-12-21,142.45376586914062
2001-12-24,142.45376586914062
2001-12-25,142.45376586914062
2001-12-26,142.21710205078125
2001-12-27,151.44586181640625
2001-12-28,153.5755157470703
2001-12-31,153.5755157470703
2002-01-01,153.5755157470703
2002-01-02,153.5755157470703
2002-01-03,153.5755157470703
2002-01-04,155.94190979003906
2002-01-07,155.94190979003906
2002-01-08,153.10227966308594
2002-01-09,152.15573120117188
2002-01-10,148.36959838867188
2002-01-11,149.552734375
2002-01-14,149.552734375
2002-01-15,148.36959838867188
2002-01-16,152.86561584472656
2002-01-17,151.9191131591797
2002-01-18,155.94190979003906
2002-01-21,159.96466064453125
2002-01-22,160.674560546875
2002-01-23,162.09434509277344
2002-01-24,157.8349609375
2002-01-25,156.65174865722656
2002-01-28,160.674560546875
2002-01-29,160.91123962402344
2002-01-30,156.65174865722656
2002-01-31,156.65174865722656
2002-02-01,155.94190979003906
2002-02-04,156.8883819580078
2002-02-05,159.25474548339844
2002-02-06,159.96466064453125
2002-02-07,162.5675811767578
2002-02-08,164.69729614257812
2002-02-11,164.69729614257812
2002-02-12,164.69729614257812
2002-02-13,172.0330047607422
2002-02-14,173.68943786621094
2002-02-15,177.47557067871094
2002-02-18,179.13197326660156
2002-02-19,173.92616271972656
2002-02-20,172.50625610351562
2002-02-21,179.8419189453125
2002-02-22,177.7122344970703
2002-02-25,176.52903747558594
2002-02-26,175.1092071533203
2002-02-27,178.65878295898438
2002-02-28,176.52903747558594
2002-03-01,179.8419189453125
2002-03-04,187.88746643066406
2002-03-05,183.15475463867188
